	tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
0	Immune	T cell	T cell CD4+	T cell (Tfh)	pos	CD3D,CD3E,CD3G,CD4,B3GAT1,BCL6,BTLA,CD40LG,CD84,CXCR4,CXCR5,ICOS,IL6R,MAF,MME,PDCD1,SLAMF1,STAT3,TNFRSF4
1	Immune	T cell	T cell CD4+	T cell (Tfh)	neg	CD14,CD19,CD8A,CD8B,SELL,IL7R
2	Immune	T cell	T cell CD4+	T cell (Tfh)	sec	CXCL13,IFNG,IL10,IL17A,IL17F,IL21,IL4
3	Immune	T cell	T cell CD4+	T cell (Th1)	pos	CD3D,CD3E,CD3G,CD4,CCR1,CCR5,CXCR3,IFNGR1,IFNGR2,IL12RB2,IL18R1,IL27RA,STAT1,STAT4,TBX21
4	Immune	T cell	T cell CD4+	T cell (Th1)	neg	CD14,CD19,CD8A,CD8B,SELL,IL7R
5	Immune	T cell	T cell CD4+	T cell (Th1)	sec	IFNG,IL2,LTA,TNF
6	Immune	T cell	T cell CD4+	T cell (Th2)	pos	CD3D,CD3E,CD3G,CD4,CCR3,CCR4,CCR8,CRLF2,CXCR4,GATA3,IL17RB,IL4R,IRF4,IL1RL1,STAT5A,STAT5B,STAT6
7	Immune	T cell	T cell CD4+	T cell (Th2)	neg	CD14,CD19,CD8A,CD8B,SELL,IL7R
8	Immune	T cell	T cell CD4+	T cell (Th2)	sec	IL4,IL5,IL9,IL10,IL13,IL21
9	Immune	T cell	T cell CD4+	T cell (Th9)	pos	CD3D,CD3E,CD3G,CD4,IL17RB,IL4R,IRF4,SPI1,TGFBR2
10	Immune	T cell	T cell CD4+	T cell (Th9)	neg	CD14,CD19,CD8A,CD8B,SELL,IL7R
11	Immune	T cell	T cell CD4+	T cell (Th9)	sec	CCL17,CCL22,IL9
12	Immune	T cell	T cell CD4+	T cell (Th17)	pos	CD3D,CD3E,CD3G,CD4,BATF,CCR4,CCR6,IL1R1,IL21R,IL23R,IL6R,IRF4,RORA,RORC,STAT3,TGFBR2
13	Immune	T cell	T cell CD4+	T cell (Th17)	neg	CD14,CD19,CD8A,CD8B,SELL,IL7R
14	Immune	T cell	T cell CD4+	T cell (Th17)	sec	CCL20,IL17A,IL17F,IL21,IL22,IL26
15	Immune	T cell	T cell CD4+	T cell (Th22)	pos	CD3D,CD3E,CD3G,CD4,AHR,BATF,CCR10,CCR4,CCR6,IL6R,STAT3,TGFBR2,TNFRSF1A
16	Immune	T cell	T cell CD4+	T cell (Th22)	neg	CD14,CD19,CD8A,CD8B,SELL,IL7R,KLRB1
17	Immune	T cell	T cell CD4+	T cell (Th22)	sec	CCL7,CCL15,FGF1,FGF2,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9
